date;precipitation
01.09.2015;0
02.09.2015;0
03.09.2015;0
04.09.2015;0
05.09.2015;0
06.09.2015;0
07.09.2015;0
08.09.2015;0
09.09.2015;0
10.09.2015;0
11.09.2015;0
12.09.2015;0
13.09.2015;0
14.09.2015;0
15.09.2015;0
16.09.2015;0
17.09.2015;0
18.09.2015;0
19.09.2015;0
20.09.2015;0
21.09.2015;0
22.09.2015;0
23.09.2015;0
24.09.2015;0
25.09.2015;0
26.09.2015;0
27.09.2015;0
28.09.2015;0
30.09.2015;0
01.10.2015;0,2
02.10.2015;0,2
03.10.2015;0,2
04.10.2015;0,25
05.10.2015;0,25
06.10.2015;0,25
07.10.2015;0,25
08.10.2015;0,25
09.10.2015;0,25
10.10.2015;0,25
11.10.2015;0,25
12.10.2015;0,25
13.10.2015;0,25
14.10.2015;0,25
15.10.2015;0,28
16.10.2015;0,54
17.10.2015;0,54
18.10.2015;0,54
19.10.2015;0,56
20.10.2015;0,56
21.10.2015;0,56
22.10.2015;0,56
23.10.2015;0,56
24.10.2015;0,56
25.10.2015;0,56
26.10.2015;0,56
27.10.2015;0,56
28.10.2015;0,56
29.10.2015;0,56
30.10.2015;0,56
31.10.2015;0,56
01.11.2015;0,56
02.11.2015;1,75
03.11.2015;1,95
04.11.2015;1,95
05.11.2015;1,95
06.11.2015;1,95
07.11.2015;1,95
08.11.2015;1,95
09.11.2015;2,56
10.11.2015;3,01
11.11.2015;3,01
12.11.2015;3,01
13.11.2015;3,01
14.11.2015;3,01
15.11.2015;3,86
16.11.2015;3,92
17.11.2015;3,92
18.11.2015;3,92
19.11.2015;3,92
20.11.2015;3,92
21.11.2015;3,92
22.11.2015;3,92
23.11.2015;3,92
24.11.2015;4,37
25.11.2015;4,65
26.11.2015;4,67
27.11.2015;4,67
28.11.2015;4,67
29.11.2015;4,67
30.11.2015;4,67
01.12.2015;4,67
02.12.2015;4,67
03.12.2015;5,12
04.12.2015;5,14
05.12.2015;5,14
06.12.2015;5,14
07.12.2015;5,14
09.12.2015;5,14
10.12.2015;5,94
11.12.2015;6,77
12.12.2015;6,78
13.12.2015;8,26
14.12.2015;8,54
15.12.2015;8,54
16.12.2015;8,54
17.12.2015;8,54
18.12.2015;8,54
19.12.2015;8,73
20.12.2015;8,73
21.12.2015;9,35
22.12.2015;11,65
23.12.2015;11,67
24.12.2015;12,03
28.12.2015;12,03
30.12.2015;12,03
31.12.2015;12,03
01.01.2016;12,03
02.01.2016;12,03
03.01.2016;12,03
04.01.2016;12,48
05.01.2016;14,61
06.01.2016;15,76
07.01.2016;16,52
08.01.2016;16,52
09.01.2016;16,76
10.01.2016;16,87
11.01.2016;16,97
12.01.2016;16,97
13.01.2016;17,71
14.01.2016;17,71
15.01.2016;17,81
16.01.2016;18,18
17.01.2016;18,29
18.01.2016;20,27
19.01.2016;23,53
20.01.2016;23,55
21.01.2016;23,55
22.01.2016;26,28
23.01.2016;27,31
24.01.2016;27,42
25.01.2016;27,42
26.01.2016;27,42
27.01.2016;27,42
29.01.2016;27,42
30.01.2016;27,83
31.01.2016;28,49
01.02.2016;28,52
02.02.2016;28,62
03.02.2016;28,62
04.02.2016;28,62
06.02.2016;28,62
08.02.2016;28,62
09.02.2016;28,62
10.02.2016;28,62
11.02.2016;28,62
12.02.2016;28,62
13.02.2016;28,62
14.02.2016;28,62
16.02.2016;28,62
17.02.2016;28,62
18.02.2016;29,7
19.02.2016;29,7
20.02.2016;29,7
21.02.2016;29,7
22.02.2016;29,7
23.02.2016;29,7
24.02.2016;29,7
25.02.2016;29,7
26.02.2016;29,7
27.02.2016;29,7
29.02.2016;29,7
01.03.2016;29,7
02.03.2016;29,7
03.03.2016;29,7
04.03.2016;29,85
05.03.2016;32,66
06.03.2016;35,86
07.03.2016;37,77
08.03.2016;37,92
09.03.2016;37,93
10.03.2016;37,93
11.03.2016;38,98
12.03.2016;39,28
13.03.2016;40,23
14.03.2016;41,03
15.03.2016;41,03
