"Granule Name,""Platform"",""Sensor"",""Beam Mode"",""Beam Mode Description"",""Orbit"",""Path Number"",""Frame Number"",""Acquisition Date"",""Processing Date"",""Processing Level"",""Start Time"",""End Time"",""Center Lat"",""Center Lon"",""Near Start Lat"",""Near Start Lon"",""Far Start Lat"",""Far Start Lon"",""Near End Lat"",""Near End Lon"",""Far End Lat"",""Far End Lon"",""Faraday Rotation"",""Ascending or Descending?"",""URL"",""Size (MB)"",""Off Nadir Angle"",""Stack Size"",""Doppler"",""GroupID"",""Pointing Angle"",""TemporalBaseline"",""PerpendicularBaseline"",""relativeBurstID"",""absoluteBurstID"",""fullBurstID"",""burstIndex"",""azimuthTime"",""azimuthAnxTime"",""samplesPerBurst"",""subswath"""
"S1A_IW_SLC__1SDV_20170712T140802_20170712T140829_017439_01D244_82D8,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""17439"",""42"",""472"",""2017-07-12T14:08:29.464446Z"",""2017-07-12T14:08:02Z"",""SLC"",""2017-07-12T14:08:02Z"",""2017-07-12T14:08:29Z"",""36.1728"",""-121.4183"",""36.776577"",""-119.83847"",""37.173824"",""-122.646507"",""35.154644"",""-120.226219"",""35.553509"",""-122.974442"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170712T140802_20170712T140829_017439_01D244_82D8.zip"",""3982.0252437591553"","""","""",""0"",""S1A_IWDV_0472_0477_017439_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170630T140801_20170630T140828_017264_01CCF5_3F55,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""17264"",""42"",""472"",""2017-06-30T14:08:28.824464Z"",""2017-06-30T14:08:01Z"",""SLC"",""2017-06-30T14:08:01Z"",""2017-06-30T14:08:28Z"",""36.1735"",""-121.4176"",""36.777405"",""-119.837723"",""37.174702"",""-122.645889"",""35.155106"",""-120.225586"",""35.554024"",""-122.97393"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170630T140801_20170630T140828_017264_01CCF5_3F55.zip"",""4050.432210922241"","""","""",""0"",""S1A_IWDV_0472_0477_017264_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170618T140801_20170618T140828_017089_01C7AF_B51B,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""17089"",""42"",""472"",""2017-06-18T14:08:28.148845Z"",""2017-06-18T14:08:01Z"",""SLC"",""2017-06-18T14:08:01Z"",""2017-06-18T14:08:28Z"",""36.1731"",""-121.4181"",""36.776772"",""-119.838295"",""37.174053"",""-122.646339"",""35.154964"",""-120.226044"",""35.553864"",""-122.974281"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170618T140801_20170618T140828_017089_01C7AF_B51B.zip"",""3983.997137069702"","""","""",""0"",""S1A_IWDV_0472_0477_017089_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170606T140800_20170606T140827_016914_01C24D_810A,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""16914"",""42"",""472"",""2017-06-06T14:08:27.524249Z"",""2017-06-06T14:08:00Z"",""SLC"",""2017-06-06T14:08:00Z"",""2017-06-06T14:08:27Z"",""36.1731"",""-121.4187"",""36.777081"",""-119.838837"",""37.174339"",""-122.646973"",""35.154778"",""-120.226669"",""35.553658"",""-122.974983"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170606T140800_20170606T140827_016914_01C24D_810A.zip"",""4032.12269115448"","""","""",""0"",""S1A_IWDV_0472_0477_016914_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170513T140811_20170513T140839_016564_01B775_C38E,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""16564"",""42"",""474"",""2017-05-13T14:08:39.079488Z"",""2017-05-13T14:08:11Z"",""SLC"",""2017-05-13T14:08:11Z"",""2017-05-13T14:08:39Z"",""35.4237"",""-121.5886"",""36.057171"",""-120.018845"",""36.454491"",""-122.796257"",""34.376179"",""-120.416649"",""34.775314"",""-123.134384"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170513T140811_20170513T140839_016564_01B775_C38E.zip"",""4126.801959991455"","""","""",""0"",""S1A_IWDV_0474_0480_016564_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170501T140810_20170501T140838_016389_01B229_D3A7,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""16389"",""42"",""474"",""2017-05-01T14:08:38.432422Z"",""2017-05-01T14:08:10Z"",""SLC"",""2017-05-01T14:08:10Z"",""2017-05-01T14:08:38Z"",""35.4226"",""-121.5883"",""36.056286"",""-120.018562"",""36.453613"",""-122.795784"",""34.374798"",""-120.416512"",""34.773933"",""-123.134033"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170501T140810_20170501T140838_016389_01B229_D3A7.zip"",""3949.8952827453613"","""","""",""0"",""S1A_IWDV_0474_0480_016389_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170419T140809_20170419T140837_016214_01ACDC_CBF8,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""16214"",""42"",""474"",""2017-04-19T14:08:37.892672Z"",""2017-04-19T14:08:09Z"",""SLC"",""2017-04-19T14:08:09Z"",""2017-04-19T14:08:37Z"",""35.4232"",""-121.5879"",""36.057068"",""-120.018082"",""36.454422"",""-122.795349"",""34.375214"",""-120.416145"",""34.77438"",""-123.133705"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170419T140809_20170419T140837_016214_01ACDC_CBF8.zip"",""3883.4897718429565"","""","""",""0"",""S1A_IWDV_0474_0480_016214_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170407T140808_20170407T140837_016039_01A77A_3A54,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""16039"",""42"",""474"",""2017-04-07T14:08:37.298765Z"",""2017-04-07T14:08:08Z"",""SLC"",""2017-04-07T14:08:08Z"",""2017-04-07T14:08:37Z"",""35.4506"",""-121.583"",""36.113308"",""-120.005867"",""36.510513"",""-122.784836"",""34.373821"",""-120.417671"",""34.772896"",""-123.134811"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170407T140808_20170407T140837_016039_01A77A_3A54.zip"",""4120.559425354004"","""","""",""0"",""S1A_IWDV_0474_0480_016039_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170326T140808_20170326T140836_015864_01A243_77B2,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""15864"",""42"",""474"",""2017-03-26T14:08:36.808748Z"",""2017-03-26T14:08:08Z"",""SLC"",""2017-03-26T14:08:08Z"",""2017-03-26T14:08:36Z"",""35.4224"",""-121.589"",""36.056034"",""-120.019318"",""36.453312"",""-122.796524"",""34.37479"",""-120.417175"",""34.773876"",""-123.134697"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170326T140808_20170326T140836_015864_01A243_77B2.zip"",""3932.3439197540283"","""","""",""0"",""S1A_IWDV_0474_0480_015864_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170302T140807_20170302T140836_015514_0197C3_43F2,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""15514"",""42"",""474"",""2017-03-02T14:08:36.249928Z"",""2017-03-02T14:08:07Z"",""SLC"",""2017-03-02T14:08:07Z"",""2017-03-02T14:08:36Z"",""35.4499"",""-121.5816"",""36.112526"",""-120.004433"",""36.509766"",""-122.783531"",""34.373302"",""-120.416214"",""34.772408"",""-123.133484"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170302T140807_20170302T140836_015514_0197C3_43F2.zip"",""4056.559914588928"","""","""",""0"",""S1A_IWDV_0474_0480_015514_042"","""","""","""","""","""","""","""","""","""","""","""""
