"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20250107T140828_20250107T140855_057339_070E5C_1BC6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57339","42","470","2025-01-07T14:08:55.126254Z","2025-01-07T14:08:28Z","SLC","2025-01-07T14:08:28Z","2025-01-07T14:08:55Z","36.5044","-121.3397","37.107632","-119.749619","37.505615","-122.576973","35.485794","-120.139313","35.885334","-122.905708","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250107T140828_20250107T140855_057339_070E5C_1BC6.zip","4060.0176134109497","","","0","S1A_IWDV_0470_0476_057339_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241226T140829_20241226T140856_057164_070777_892E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57164","42","470","2024-12-26T14:08:56.227033Z","2024-12-26T14:08:29Z","SLC","2024-12-26T14:08:29Z","2024-12-26T14:08:56Z","36.5042","-121.34","37.10751","-119.749924","37.505466","-122.577347","35.485672","-120.13958","35.885189","-122.906052","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241226T140829_20241226T140856_057164_070777_892E.zip","4030.610746383667","","","0","S1A_IWDV_0470_0476_057164_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241214T140830_20241214T140857_056989_070079_9B1C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56989","42","470","2024-12-14T14:08:57.541689Z","2024-12-14T14:08:30Z","SLC","2024-12-14T14:08:30Z","2024-12-14T14:08:57Z","36.5043","-121.3419","37.107533","-119.751823","37.50544","-122.579224","35.485813","-120.141411","35.885281","-122.907867","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241214T140830_20241214T140857_056989_070079_9B1C.zip","4187.998279571533","","","0","S1A_IWDV_0470_0476_056989_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241202T140831_20241202T140858_056814_06F999_1EB2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56814","42","470","2024-12-02T14:08:58.443082Z","2024-12-02T14:08:31Z","SLC","2024-12-02T14:08:31Z","2024-12-02T14:08:58Z","36.5041","-121.3412","37.107231","-119.751228","37.505154","-122.578568","35.485641","-120.1408","35.88512","-122.907204","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241202T140831_20241202T140858_056814_06F999_1EB2.zip","3953.5471382141113","","","0","S1A_IWDV_0470_0476_056814_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241120T140832_20241120T140859_056639_06F2AA_16E1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56639","42","470","2024-11-20T14:08:59.110686Z","2024-11-20T14:08:32Z","SLC","2024-11-20T14:08:32Z","2024-11-20T14:08:59Z","36.5041","-121.3399","37.107281","-119.74987","37.505276","-122.57724","35.485565","-120.139519","35.88512","-122.905952","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241120T140832_20241120T140859_056639_06F2AA_16E1.zip","4023.9006662368774","","","0","S1A_IWDV_0470_0476_056639_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241108T140832_20241108T140859_056464_06EBA0_9045","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56464","42","470","2024-11-08T14:08:59.673899Z","2024-11-08T14:08:32Z","SLC","2024-11-08T14:08:32Z","2024-11-08T14:08:59Z","36.5045","-121.339","37.107334","-119.749046","37.505348","-122.576233","35.486237","-120.138573","35.885807","-122.904854","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241108T140832_20241108T140859_056464_06EBA0_9045.zip","3890.231430053711","","","0","S1A_IWDV_0470_0476_056464_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241027T140833_20241027T140900_056289_06E4B5_A00A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56289","42","470","2024-10-27T14:09:00.109017Z","2024-10-27T14:08:33Z","SLC","2024-10-27T14:08:33Z","2024-10-27T14:09:00Z","36.5042","-121.3388","37.107296","-119.748802","37.505325","-122.57605","35.485706","-120.138443","35.885288","-122.90477","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241027T140833_20241027T140900_056289_06E4B5_A00A.zip","3977.6865005493164","","","0","S1A_IWDV_0471_0476_056289_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241015T140833_20241015T140900_056114_06DDC0_B6B8","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","56114","42","470","2024-10-15T14:09:00.098061Z","2024-10-15T14:08:33Z","SLC","2024-10-15T14:08:33Z","2024-10-15T14:09:00Z","36.5046","-121.3387","37.107887","-119.748749","37.505882","-122.575943","35.486042","-120.13842","35.885593","-122.904686","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241015T140833_20241015T140900_056114_06DDC0_B6B8.zip","3996.645812034607","","","0","S1A_IWDV_0470_0476_056114_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20241003T140832_20241003T140859_055939_06D6E3_64D9","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","55939","42","470","2024-10-03T14:08:59.816660Z","2024-10-03T14:08:32Z","SLC","2024-10-03T14:08:32Z","2024-10-03T14:08:59Z","36.5045","-121.339","37.107655","-119.749031","37.505623","-122.576157","35.486046","-120.138634","35.885574","-122.904839","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241003T140832_20241003T140859_055939_06D6E3_64D9.zip","4015.715081214905","","","0","S1A_IWDV_0470_0476_055939_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240921T140832_20240921T140859_055764_06CFEC_0015","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","55764","42","470","2024-09-21T14:08:59.515874Z","2024-09-21T14:08:32Z","SLC","2024-09-21T14:08:32Z","2024-09-21T14:08:59Z","36.5046","-121.3394","37.107922","-119.749474","37.505882","-122.576416","35.485935","-120.139183","35.885456","-122.905197","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240921T140832_20240921T140859_055764_06CFEC_0015.zip","3939.3748474121094","","","0","S1A_IWDV_0470_0476_055764_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240909T140832_20240909T140859_055589_06C90B_5E59","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","55589","42","470","2024-09-09T14:08:59.142814Z","2024-09-09T14:08:32Z","SLC","2024-09-09T14:08:32Z","2024-09-09T14:08:59Z","36.504","-121.3401","37.107208","-119.750343","37.505146","-122.57711","35.485588","-120.139961","35.885086","-122.905823","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240909T140832_20240909T140859_055589_06C90B_5E59.zip","3930.7778787612915","","","0","S1A_IWDV_0470_0476_055589_042","","","","","","","","","","",""
